Date,Time,Temperature (F),Dew Point (F),Humidity (%),Wind,Wind Speed (mph),Wind Gust (mph),Pressure (in),Precip. (in),Condition
4/19/2024,11:53:00 PM,64,58,80,N,10 ,0 ,29.02,0,Mostly Cloudy
4/18/2024,12:08:00 AM,61,54,78,W,10 ,0 ,29.06,0,Mostly Cloudy
4/18/2024,12:34:00 AM,60,54,80,WSW,8 ,0 ,29.05,0,Cloudy
4/18/2024,12:53:00 AM,60,53,78,WSW,8 ,0 ,29.05,0,Partly Cloudy
4/18/2024,1:53:00 AM,60,53,78,W,8 ,0 ,29.04,0,Fair
4/18/2024,2:53:00 AM,57,53,87,WSW,7 ,0 ,29.03,0,Fair
4/18/2024,3:53:00 AM,54,52,93,CALM,0 ,0 ,29.03,0,Fair
4/18/2024,4:20:00 AM,56,53,90,CALM,0 ,0 ,29.03,0,Mostly Cloudy
4/18/2024,4:53:00 AM,55,53,93,CALM,0 ,0 ,29.04,0,Mostly Cloudy
4/18/2024,5:53:00 AM,58,54,87,SSW,6 ,0 ,29.04,0,Cloudy
4/18/2024,6:46:00 AM,58,53,84,CALM,0 ,0 ,29.05,0,Cloudy
4/18/2024,6:53:00 AM,58,54,87,CALM,0 ,0 ,29.05,0,Cloudy
4/18/2024,7:10:00 AM,59,54,83,S,5 ,0 ,29.05,0,Cloudy
4/18/2024,7:53:00 AM,59,54,83,W,5 ,0 ,29.07,0,Cloudy
4/18/2024,8:29:00 AM,61,55,81,SW,5 ,0 ,29.08,0,Cloudy
4/18/2024,8:53:00 AM,61,55,81,SSW,5 ,0 ,29.08,0,Cloudy
4/18/2024,9:53:00 AM,67,57,70,CALM,0 ,0 ,29.08,0,Mostly Cloudy
4/18/2024,10:53:00 AM,71,58,63,CALM,0 ,0 ,29.09,0,Fair
4/18/2024,11:53:00 AM,75,60,60,WNW,3 ,0 ,29.07,0,Fair
4/18/2024,12:53:00 PM,77,59,54,N,3 ,0 ,29.05,0,Fair
4/18/2024,1:53:00 PM,80,58,47,N,3 ,0 ,29.03,0,Fair
4/18/2024,2:53:00 PM,81,59,47,VAR,6 ,0 ,29,0,Fair
4/18/2024,3:53:00 PM,83,55,38,WNW,6 ,0 ,28.97,0,Fair
4/18/2024,4:53:00 PM,85,54,34,WSW,6 ,0 ,28.94,0,Fair
4/18/2024,5:53:00 PM,84,53,34,CALM,0 ,0 ,28.94,0,Fair
4/18/2024,6:53:00 PM,83,51,33,W,6 ,0 ,28.93,0,Partly Cloudy
4/18/2024,7:53:00 PM,78,53,42,SW,6 ,0 ,28.92,0,Partly Cloudy
4/18/2024,8:53:00 PM,75,54,48,WSW,6 ,0 ,28.94,0,Mostly Cloudy
4/18/2024,9:53:00 PM,74,57,55,WSW,7 ,0 ,28.95,0,Mostly Cloudy
4/18/2024,10:53:00 PM,72,58,61,WSW,7 ,0 ,28.97,0,Mostly Cloudy
4/18/2024,11:53:00 PM,69,59,70,SW,8 ,0 ,28.96,0,Mostly Cloudy
4/17/2024,12:53:00 AM,71,51,49,W,8 ,0 ,29,0,Cloudy
4/17/2024,1:53:00 AM,70,52,53,WSW,6 ,0 ,28.98,0,Cloudy
4/17/2024,2:53:00 AM,71,49,45,W,6 ,0 ,28.94,0,Cloudy
4/17/2024,3:53:00 AM,70,50,49,W,13 ,0 ,28.97,0,Cloudy
4/17/2024,4:53:00 AM,69,51,53,WSW,8 ,0 ,28.98,0,Cloudy
4/17/2024,5:53:00 AM,70,52,53,SW,9 ,0 ,28.97,0,Cloudy
4/17/2024,6:53:00 AM,70,53,55,W,8 ,0 ,29,0,Cloudy
4/17/2024,7:53:00 AM,70,54,57,SW,13 ,0 ,29.02,0,Cloudy
4/17/2024,8:53:00 AM,70,55,59,SSW,14 ,0 ,29.01,0,Cloudy
4/17/2024,9:53:00 AM,71,56,59,SW,14 ,0 ,29.02,0,Cloudy
4/17/2024,10:53:00 AM,71,50,47,SSW,16 ,23 ,29.03,0,Cloudy
4/17/2024,11:53:00 AM,71,48,44,SSW,13 ,0 ,29.01,0,Cloudy
4/17/2024,12:53:00 PM,69,47,45,SSW,13 ,0 ,29,0,Light Rain
4/17/2024,1:53:00 PM,69,45,42,SSW,22 ,29 ,29.01,0,Light Rain / Windy
4/17/2024,2:53:00 PM,61,52,72,SW,15 ,0 ,29.03,0,Light Rain
4/17/2024,3:53:00 PM,60,54,80,SW,12 ,0 ,29.01,0,Light Rain
4/17/2024,4:53:00 PM,63,53,70,W,8 ,0 ,28.99,0,Cloudy
4/17/2024,5:53:00 PM,68,54,61,SSW,18 ,26 ,28.96,0,Cloudy
4/17/2024,6:53:00 PM,67,51,57,WSW,20 ,28 ,28.99,0,Cloudy
4/17/2024,7:53:00 PM,65,53,65,SSW,17 ,0 ,29,0,Cloudy
4/17/2024,8:45:00 PM,65,54,68,SW,12 ,0 ,29.02,0,Cloudy
4/17/2024,8:53:00 PM,64,54,70,SW,12 ,0 ,29.03,0,Cloudy
4/17/2024,9:22:00 PM,63,54,72,WSW,9 ,0 ,29.03,0,Cloudy
4/17/2024,9:53:00 PM,61,54,78,WSW,9 ,0 ,29.05,0,Partly Cloudy
4/17/2024,10:03:00 PM,63,55,75,W,8 ,0 ,29.05,0,Cloudy
4/17/2024,10:53:00 PM,60,54,80,SW,8 ,0 ,29.05,0,Mostly Cloudy
4/17/2024,11:00:00 PM,60,54,80,WSW,6 ,0 ,29.05,0,Fair
4/17/2024,11:53:00 PM,60,54,80,W,10 ,0 ,29.06,0,Mostly Cloudy
4/16/2024,12:53:00 AM,68,57,68,SSW,9 ,0 ,29,0,Partly Cloudy
4/16/2024,1:53:00 AM,70,57,63,CALM,0 ,0 ,28.99,0,Partly Cloudy
4/16/2024,2:53:00 AM,65,57,75,CALM,0 ,0 ,28.99,0,Mostly Cloudy
4/16/2024,3:53:00 AM,67,57,70,W,3 ,0 ,29,0,Partly Cloudy
4/16/2024,4:53:00 AM,64,58,80,CALM,0 ,0 ,29.02,0,Cloudy
4/16/2024,5:53:00 AM,62,57,84,CALM,0 ,0 ,29.02,0,Cloudy
4/16/2024,6:53:00 AM,63,57,81,CALM,0 ,0 ,29.04,0,Cloudy
4/16/2024,7:53:00 AM,63,58,84,SSW,3 ,0 ,29.06,0,Cloudy
4/16/2024,8:53:00 AM,67,58,73,CALM,0 ,0 ,29.07,0,Cloudy
4/16/2024,9:53:00 AM,67,61,81,NE,5 ,0 ,29.06,0,Cloudy
4/16/2024,10:53:00 AM,69,61,75,CALM,0 ,0 ,29.08,0,Cloudy
4/16/2024,11:53:00 AM,72,60,66,CALM,0 ,0 ,29.08,0,Cloudy
4/16/2024,12:53:00 PM,76,59,56,CALM,0 ,0 ,29.06,0,Cloudy
4/16/2024,1:53:00 PM,79,58,48,CALM,0 ,0 ,29.04,0,Mostly Cloudy
4/16/2024,2:53:00 PM,80,58,47,CALM,0 ,0 ,29.02,0,Mostly Cloudy
4/16/2024,3:53:00 PM,83,60,46,NW,3 ,0 ,28.99,0,Mostly Cloudy
4/16/2024,4:53:00 PM,83,61,47,NNE,5 ,0 ,28.96,0,Mostly Cloudy
4/16/2024,5:53:00 PM,83,61,47,ENE,3 ,0 ,28.96,0,Cloudy
4/16/2024,6:53:00 PM,82,60,47,SW,3 ,0 ,28.96,0,Cloudy
4/16/2024,7:53:00 PM,76,49,38,SSW,9 ,0 ,28.96,0,Cloudy
4/16/2024,8:53:00 PM,74,50,43,SSW,9 ,0 ,28.98,0,Cloudy
4/16/2024,9:53:00 PM,72,52,49,SW,6 ,0 ,29.01,0,Cloudy
4/16/2024,10:53:00 PM,70,51,51,S,5 ,0 ,29.01,0,Cloudy
4/16/2024,11:53:00 PM,71,52,51,W,3 ,0 ,28.99,0,Cloudy
4/15/2024,12:53:00 AM,64,46,52,SW,10 ,0 ,28.95,0,Fair
4/15/2024,1:53:00 AM,63,47,56,SW,9 ,0 ,28.95,0,Fair
4/15/2024,2:53:00 AM,63,48,58,SW,9 ,0 ,28.94,0,Fair
4/15/2024,3:53:00 AM,62,48,60,SW,9 ,0 ,28.95,0,Fair
4/15/2024,4:53:00 AM,63,47,56,SSW,7 ,0 ,28.95,0,Fair
4/15/2024,5:53:00 AM,62,48,60,SSW,8 ,0 ,28.96,0,Fair
4/15/2024,6:53:00 AM,62,48,60,SW,7 ,0 ,28.98,0,Fair
4/15/2024,7:53:00 AM,63,49,60,SW,5 ,0 ,28.99,0,Fair
4/15/2024,8:53:00 AM,68,51,55,SSW,8 ,0 ,29,0,Fair
4/15/2024,9:53:00 AM,73,53,49,SW,12 ,0 ,29,0,Fair
4/15/2024,10:53:00 AM,74,54,50,SSW,15 ,0 ,29.01,0,Fair
4/15/2024,11:53:00 AM,76,56,50,SW,15 ,0 ,29,0,Fair
4/15/2024,12:53:00 PM,78,58,50,SW,8 ,0 ,28.97,0,Fair
4/15/2024,1:53:00 PM,80,60,50,SW,13 ,0 ,28.96,0,Fair
4/15/2024,2:53:00 PM,81,60,49,SSW,14 ,0 ,28.95,0,Fair
4/15/2024,3:53:00 PM,83,58,42,SW,16 ,23 ,28.94,0,Fair
4/15/2024,4:53:00 PM,83,59,44,SW,9 ,23 ,28.93,0,Fair
4/15/2024,5:53:00 PM,82,59,45,SSW,14 ,0 ,28.93,0,Fair
4/15/2024,6:53:00 PM,80,59,48,S,13 ,0 ,28.92,0,Partly Cloudy
4/15/2024,7:53:00 PM,77,59,54,SW,10 ,0 ,28.93,0,Mostly Cloudy
4/15/2024,8:53:00 PM,75,58,55,SW,6 ,0 ,28.95,0,Mostly Cloudy
4/15/2024,9:53:00 PM,73,59,61,SW,7 ,0 ,28.97,0,Mostly Cloudy
4/15/2024,10:53:00 PM,71,59,66,SW,8 ,0 ,28.98,0,Partly Cloudy
4/15/2024,11:53:00 PM,70,58,65,SW,12 ,0 ,28.99,0,Mostly Cloudy
4/14/2024,12:53:00 AM,58,38,47,CALM,0 ,0 ,29.08,0,Fair
4/14/2024,1:53:00 AM,57,39,51,SSW,3 ,0 ,29.07,0,Fair
4/14/2024,2:53:00 AM,56,39,53,S,3 ,0 ,29.06,0,Fair
4/14/2024,3:53:00 AM,53,40,61,SW,6 ,0 ,29.05,0,Fair
4/14/2024,4:53:00 AM,49,41,74,CALM,0 ,0 ,29.04,0,Fair
4/14/2024,5:53:00 AM,50,41,71,CALM,0 ,0 ,29.04,0,Fair
4/14/2024,6:53:00 AM,48,43,83,CALM,0 ,0 ,29.06,0,Fair
4/14/2024,7:53:00 AM,49,44,83,CALM,0 ,0 ,29.08,0,Fair
4/14/2024,8:53:00 AM,56,45,67,CALM,0 ,0 ,29.08,0,Fair
4/14/2024,9:53:00 AM,64,47,54,VAR,3 ,0 ,29.08,0,Fair
4/14/2024,10:53:00 AM,73,50,44,SW,12 ,0 ,29.08,0,Fair
4/14/2024,11:53:00 AM,76,49,38,SW,15 ,0 ,29.07,0,Fair
4/14/2024,12:53:00 PM,77,49,37,WSW,10 ,25 ,29.04,0,Mostly Cloudy
4/14/2024,1:53:00 PM,79,50,36,SW,14 ,24 ,29.01,0,Mostly Cloudy
4/14/2024,2:53:00 PM,81,49,33,WSW,20 ,29 ,28.99,0,Mostly Cloudy
4/14/2024,3:53:00 PM,82,49,31,SSW,21 ,29 ,28.95,0,Fair / Windy
4/14/2024,4:53:00 PM,82,48,30,SSW,18 ,28 ,28.92,0,Fair
4/14/2024,5:53:00 PM,81,44,27,SSW,22 ,30 ,28.93,0,Fair / Windy
4/14/2024,6:53:00 PM,79,45,30,SW,18 ,35 ,28.91,0,Fair
4/14/2024,7:53:00 PM,75,44,33,SSW,15 ,0 ,28.91,0,Fair
4/14/2024,8:53:00 PM,70,45,41,SW,13 ,0 ,28.92,0,Fair
4/14/2024,9:53:00 PM,68,46,45,SW,9 ,0 ,28.94,0,Fair
4/14/2024,10:53:00 PM,67,47,49,SW,13 ,0 ,28.95,0,Fair
4/14/2024,11:53:00 PM,64,46,52,SW,8 ,0 ,28.95,0,Fair
4/13/2024,12:53:00 AM,45,38,76,S,6 ,0 ,29.08,0,Fair
4/13/2024,1:53:00 AM,47,39,74,S,5 ,0 ,29.08,0,Fair
4/13/2024,2:53:00 AM,46,39,76,S,7 ,0 ,29.08,0,Fair
4/13/2024,3:53:00 AM,45,39,80,SSW,9 ,0 ,29.09,0,Fair
4/13/2024,4:53:00 AM,45,38,76,SSW,13 ,0 ,29.1,0,Fair
4/13/2024,5:53:00 AM,46,38,73,SSW,10 ,0 ,29.12,0,Fair
4/13/2024,6:53:00 AM,44,37,76,SW,10 ,0 ,29.13,0,Fair
4/13/2024,7:53:00 AM,47,38,71,SW,6 ,0 ,29.15,0,Fair
4/13/2024,8:53:00 AM,53,41,64,SW,7 ,0 ,29.17,0,Fair
4/13/2024,9:53:00 AM,58,39,49,SW,8 ,0 ,29.17,0,Fair
4/13/2024,10:53:00 AM,61,39,44,SSW,7 ,0 ,29.17,0,Fair
4/13/2024,11:53:00 AM,64,34,33,W,9 ,0 ,29.18,0,Fair
4/13/2024,12:53:00 PM,65,34,32,WNW,8 ,0 ,29.16,0,Fair
4/13/2024,1:53:00 PM,67,34,30,W,7 ,0 ,29.14,0,Fair
4/13/2024,2:53:00 PM,71,32,24,W,14 ,20 ,29.12,0,Fair
4/13/2024,3:53:00 PM,73,30,20,WSW,14 ,0 ,29.09,0,Fair
4/13/2024,4:53:00 PM,74,28,18,W,13 ,18 ,29.07,0,Fair
4/13/2024,5:53:00 PM,74,31,21,W,10 ,0 ,29.07,0,Fair
4/13/2024,6:53:00 PM,73,32,22,W,9 ,0 ,29.06,0,Fair
4/13/2024,7:53:00 PM,69,36,30,W,7 ,0 ,29.07,0,Fair
4/13/2024,8:53:00 PM,67,35,31,WSW,3 ,0 ,29.07,0,Fair
4/13/2024,9:53:00 PM,62,38,41,SW,8 ,0 ,29.09,0,Fair
4/13/2024,10:53:00 PM,60,39,46,WSW,6 ,0 ,29.09,0,Fair
4/13/2024,11:53:00 PM,58,38,47,S,6 ,0 ,29.09,0,Fair
4/12/2024,12:53:00 AM,53,47,80,SSW,10 ,0 ,28.72,0,Cloudy
4/12/2024,1:53:00 AM,53,48,83,WSW,9 ,0 ,28.73,0,Cloudy
4/12/2024,2:53:00 AM,52,48,86,SW,10 ,0 ,28.73,0,Partly Cloudy
4/12/2024,3:53:00 AM,51,48,89,SW,12 ,0 ,28.74,0,Partly Cloudy
4/12/2024,4:53:00 AM,52,49,89,SW,12 ,0 ,28.76,0,Mostly Cloudy
4/12/2024,5:53:00 AM,52,46,80,SW,13 ,0 ,28.8,0,Mostly Cloudy
4/12/2024,6:53:00 AM,51,43,74,WSW,10 ,0 ,28.82,0,Fair
4/12/2024,7:53:00 AM,50,42,74,SSW,9 ,0 ,28.84,0,Fair
4/12/2024,8:53:00 AM,54,44,69,SW,13 ,0 ,28.85,0,Fair
4/12/2024,9:53:00 AM,56,41,57,WSW,16 ,24 ,28.85,0,Fair
4/12/2024,10:53:00 AM,59,40,49,SW,18 ,30 ,28.85,0,Partly Cloudy
4/12/2024,11:53:00 AM,60,40,47,SW,23 ,30 ,28.85,0,Mostly Cloudy / Windy
4/12/2024,12:53:00 PM,58,38,47,WSW,17 ,28 ,28.86,0,Light Rain
4/12/2024,1:53:00 PM,57,38,49,W,24 ,32 ,28.86,0,Light Rain / Windy
4/12/2024,2:47:00 PM,57,37,48,SW,23 ,0 ,28.89,0,Mostly Cloudy / Windy
4/12/2024,2:53:00 PM,57,38,49,WSW,22 ,32 ,28.9,0,Mostly Cloudy / Windy
4/12/2024,3:53:00 PM,56,39,53,W,15 ,28 ,28.91,0,Light Rain
4/12/2024,4:53:00 PM,58,39,49,WNW,15 ,25 ,28.93,0,Mostly Cloudy
4/12/2024,5:53:00 PM,57,39,51,W,28 ,43 ,28.96,0,Mostly Cloudy / Windy
4/12/2024,6:53:00 PM,56,40,55,W,18 ,25 ,28.99,0,Mostly Cloudy
4/12/2024,7:53:00 PM,54,40,59,WSW,8 ,0 ,29.01,0,Partly Cloudy
4/12/2024,8:53:00 PM,51,40,66,SW,7 ,0 ,29.03,0,Mostly Cloudy
4/12/2024,9:53:00 PM,50,40,68,S,3 ,0 ,29.05,0,Partly Cloudy
4/12/2024,10:53:00 PM,50,40,68,S,3 ,0 ,29.06,0,Fair
4/12/2024,11:53:00 PM,47,39,74,SSW,6 ,0 ,29.08,0,Fair
4/11/2024,12:53:00 AM,64,57,78,CALM,0 ,0 ,28.64,0,Cloudy
4/11/2024,1:53:00 AM,69,54,58,SE,12 ,25 ,28.62,0,Cloudy
4/11/2024,2:53:00 AM,70,54,57,SSE,16 ,26 ,28.6,0,Partly Cloudy
4/11/2024,3:53:00 AM,70,53,55,SE,10 ,24 ,28.57,0,Cloudy
4/11/2024,4:53:00 AM,68,54,61,SSE,5 ,0 ,28.56,0,Cloudy
4/11/2024,5:53:00 AM,68,55,63,CALM,0 ,0 ,28.53,0,Cloudy
4/11/2024,6:53:00 AM,69,56,63,S,12 ,21 ,28.5,0,Light Rain with Thunder
4/11/2024,7:08:00 AM,68,57,68,SSE,15 ,25 ,28.51,0,T-Storm
4/11/2024,7:13:00 AM,66,59,78,SSE,10 ,25 ,28.51,0,Light Rain with Thunder
4/11/2024,7:28:00 AM,63,59,87,SSW,7 ,0 ,28.52,0.1,Rain
4/11/2024,7:33:00 AM,62,59,90,SW,9 ,0 ,28.53,0.1,Rain
4/11/2024,7:37:00 AM,62,59,90,SW,9 ,0 ,28.53,0.1,Heavy T-Storm
4/11/2024,7:42:00 AM,62,59,90,WSW,5 ,0 ,28.52,0.1,Heavy T-Storm
4/11/2024,7:47:00 AM,63,59,88,W,6 ,0 ,28.52,0.3,Light Rain with Thunder
4/11/2024,7:53:00 AM,62,60,93,W,3 ,0 ,28.51,0.3,Light Rain with Thunder
4/11/2024,8:10:00 AM,62,60,93,NW,6 ,0 ,28.5,0,Cloudy
4/11/2024,8:53:00 AM,65,62,90,NW,5 ,0 ,28.49,0,Mostly Cloudy
4/11/2024,9:53:00 AM,64,61,90,CALM,0 ,0 ,28.49,0,Light Rain
4/11/2024,10:31:00 AM,65,63,93,NE,5 ,0 ,28.47,0,Cloudy
4/11/2024,10:42:00 AM,66,63,90,NNE,3 ,0 ,28.47,0,Cloudy
4/11/2024,10:53:00 AM,67,63,87,NNE,3 ,0 ,28.47,0,Cloudy
4/11/2024,11:12:00 AM,68,63,84,N,3 ,0 ,28.46,0,Cloudy
4/11/2024,11:19:00 AM,68,63,84,N,3 ,0 ,28.46,0,Cloudy
4/11/2024,11:47:00 AM,68,63,83,CALM,0 ,0 ,28.45,0,Mostly Cloudy
4/11/2024,11:53:00 AM,69,63,81,CALM,0 ,0 ,28.45,0,Mostly Cloudy
4/11/2024,12:50:00 PM,72,64,78,E,3 ,0 ,28.4,0,Cloudy
4/11/2024,12:53:00 PM,71,64,78,ENE,7 ,0 ,28.4,0,Cloudy
4/11/2024,1:26:00 PM,73,65,76,VAR,5 ,0 ,28.37,0,Mostly Cloudy
4/11/2024,1:53:00 PM,68,63,84,WSW,6 ,18 ,28.35,0,Light Rain
4/11/2024,2:02:00 PM,67,63,87,SSW,16 ,23 ,28.39,0,Light Rain with Thunder
4/11/2024,2:05:00 PM,66,63,90,S,17 ,24 ,28.4,0,Heavy T-Storm
4/11/2024,2:15:00 PM,66,63,90,SSW,22 ,32 ,28.38,0.3,T-Storm / Windy
4/11/2024,2:21:00 PM,65,62,90,SSW,16 ,32 ,28.37,0.3,Light Rain with Thunder
4/11/2024,2:31:00 PM,65,61,87,S,12 ,0 ,28.38,0.3,Light Rain
4/11/2024,2:53:00 PM,66,62,87,SSW,13 ,0 ,28.37,0.4,Light Rain
4/11/2024,3:53:00 PM,68,64,87,W,10 ,0 ,28.35,0,Cloudy
4/11/2024,4:23:00 PM,67,63,87,W,8 ,0 ,28.35,0,Thunder in the Vicinity
4/11/2024,4:25:00 PM,67,63,87,W,8 ,0 ,28.34,0,Thunder
4/11/2024,4:30:00 PM,67,63,87,WSW,8 ,0 ,28.35,0,Thunder
4/11/2024,4:36:00 PM,67,63,87,WSW,16 ,21 ,28.37,0,Heavy T-Storm
4/11/2024,4:37:00 PM,67,63,87,WSW,18 ,24 ,28.38,0,Heavy T-Storm
4/11/2024,4:40:00 PM,65,62,90,SW,40 ,51 ,28.38,0,Heavy T-Storm / Windy
4/11/2024,4:44:00 PM,62,59,90,WSW,26 ,51 ,28.37,0.1,Heavy T-Storm / Windy
4/11/2024,4:46:00 PM,62,59,90,WSW,23 ,51 ,28.37,0.1,Light Rain with Thunder
4/11/2024,4:53:00 PM,64,59,84,WSW,18 ,36 ,28.38,0.3,Light Rain with Thunder
4/11/2024,4:56:00 PM,64,59,84,WSW,20 ,32 ,28.38,0,Light Rain with Thunder
4/11/2024,5:13:00 PM,64,60,87,SW,15 ,0 ,28.38,0,Light Rain
4/11/2024,5:53:00 PM,64,61,90,SSW,12 ,0 ,28.38,0,Mostly Cloudy
4/11/2024,6:38:00 PM,66,59,78,SSW,18 ,26 ,28.37,0,Thunder
4/11/2024,6:47:00 PM,64,57,77,WSW,28 ,43 ,28.41,0,Heavy T-Storm / Windy
4/11/2024,6:48:00 PM,64,57,77,W,29 ,43 ,28.42,0,Heavy T-Storm / Windy
4/11/2024,6:53:00 PM,61,58,90,W,20 ,43 ,28.42,0,Heavy T-Storm
4/11/2024,6:55:00 PM,60,57,90,WSW,21 ,43 ,28.42,0.1,T-Storm / Windy
4/11/2024,7:00:00 PM,60,57,90,W,17 ,29 ,28.42,0.2,Light Rain with Thunder
4/11/2024,7:14:00 PM,60,57,90,WSW,12 ,0 ,28.43,0.2,Rain
4/11/2024,7:53:00 PM,60,58,93,SW,15 ,0 ,28.44,0.3,Light Rain
4/11/2024,8:48:00 PM,57,52,82,W,20 ,41 ,28.51,0,Light Rain
4/11/2024,8:53:00 PM,57,51,81,W,24 ,38 ,28.51,0,Light Rain / Windy
4/11/2024,9:53:00 PM,55,48,77,W,16 ,29 ,28.59,0,Cloudy
4/11/2024,10:53:00 PM,53,48,83,SW,13 ,0 ,28.67,0,Light Rain
4/11/2024,11:53:00 PM,54,47,77,WSW,13 ,0 ,28.7,0,Cloudy
4/10/2024,12:26:00 AM,56,56,100,CALM,0 ,0 ,28.98,0,Mist
4/10/2024,12:53:00 AM,57,56,96,CALM,0 ,0 ,29,0,Mist
4/10/2024,1:13:00 AM,57,56,96,CALM,0 ,0 ,28.99,0,Mist
4/10/2024,1:53:00 AM,56,56,100,CALM,0 ,0 ,28.99,0,Light Rain
4/10/2024,2:53:00 AM,57,56,96,NW,7 ,0 ,28.98,0,Cloudy
4/10/2024,3:32:00 AM,56,56,100,E,5 ,0 ,28.97,0,Light Rain
4/10/2024,3:40:00 AM,56,56,100,ENE,5 ,0 ,28.97,0,Light Rain
4/10/2024,3:43:00 AM,56,56,100,ENE,3 ,0 ,28.96,0,Light Rain
4/10/2024,3:48:00 AM,55,55,100,E,5 ,0 ,28.96,0,Light Rain
4/10/2024,3:53:00 AM,56,56,100,ENE,3 ,0 ,28.96,0,Light Rain / Fog
4/10/2024,4:15:00 AM,56,56,100,CALM,0 ,0 ,28.95,0,Light Rain
4/10/2024,4:53:00 AM,56,55,97,CALM,0 ,0 ,28.95,0,Cloudy
4/10/2024,5:53:00 AM,56,55,97,CALM,0 ,0 ,28.95,0,Light Rain
4/10/2024,6:39:00 AM,56,55,97,ENE,5 ,0 ,28.95,0,Light Rain
4/10/2024,6:53:00 AM,56,55,97,N,6 ,0 ,28.95,0,Light Rain
4/10/2024,7:53:00 AM,57,55,93,NE,9 ,0 ,28.95,0,Light Rain
4/10/2024,8:31:00 AM,56,55,97,NNE,7 ,0 ,28.94,0,Light Rain
4/10/2024,8:53:00 AM,57,55,93,NNE,8 ,0 ,28.95,0,Cloudy
4/10/2024,9:53:00 AM,58,56,93,ENE,5 ,0 ,28.94,0,Cloudy
4/10/2024,10:53:00 AM,62,58,86,NNE,3 ,0 ,28.92,0,Cloudy
4/10/2024,11:53:00 AM,63,58,84,NNW,3 ,0 ,28.91,0,Cloudy
4/10/2024,12:53:00 PM,65,58,78,N,5 ,0 ,28.9,0,Cloudy
4/10/2024,1:53:00 PM,66,59,78,NNE,6 ,0 ,28.88,0,Cloudy
4/10/2024,2:53:00 PM,69,60,73,CALM,0 ,0 ,28.88,0,Cloudy
4/10/2024,3:53:00 PM,71,60,68,CALM,0 ,0 ,28.85,0,Cloudy
4/10/2024,4:53:00 PM,70,60,71,ENE,3 ,0 ,28.85,0,Cloudy
4/10/2024,5:53:00 PM,71,61,70,ENE,3 ,0 ,28.82,0,Cloudy
4/10/2024,6:53:00 PM,70,61,73,E,3 ,0 ,28.79,0,Cloudy
